sample_id,fracture_pixel_ratio,num_connected_components,largest_component_ratio,mean_component_area,skeleton_length,endpoint_count,junction_count,hough_line_count,orientation_bin_00,orientation_bin_01,orientation_bin_02,orientation_bin_03,orientation_bin_04,orientation_bin_05,orientation_bin_06,orientation_bin_07,orientation_bin_08,orientation_bin_09,orientation_bin_10,orientation_bin_11,orientation_bin_12,orientation_bin_13,orientation_bin_14,orientation_bin_15,orientation_bin_16,orientation_bin_17
dfn_000131,0.19647216796875,5.0,0.6952469711090401,643.8,840.0,30.0,421.0,117.0,0.0400653939839562,0.03814389295391168,0.0026452458366156596,0.04472359692619278,0.15902345150546104,0.013574735824984165,0.1804437156330479,0.06319203049126386,0.07984444149952195,0.05202838048247144,0.014749376060760514,0.008665802300340877,0.08772410960924573,0.010463549460253243,0.055927112665846546,0.10508512944181696,0.02525467614958011,0.018445359174729375
dfn_000132,0.15557861328125,6.0,0.3193409180070616,424.8333333333333,717.0,25.0,277.0,79.0,0.0685433128612044,0.11421522584611571,0.13435253871913014,0.0,0.0,0.044287038630749564,0.03582399955312709,0.11457335061618823,0.0,0.020987932670407466,0.03368636877990153,0.026794218613289972,0.05499199623505924,0.007670934160282342,0.08186665378279573,0.09853805468938837,0.06062795708967626,0.10304041775268384
dfn_000133,0.18634033203125,15.0,0.21225024566000655,203.53333333333333,820.0,44.0,385.0,148.0,0.17750506154400084,0.034984842816686054,0.09289936559638699,0.04854958090427374,0.03111383847124984,0.0,0.02799967675754092,0.06349112818035273,0.013212714472552388,0.03272640766605116,0.06252355726827927,0.015779466699590072,0.005158856354213346,0.02213112285631322,0.060137592921369366,0.10614369041792028,0.1311723250404455,0.07447077203277443
dfn_000134,0.246826171875,5.0,0.7566765578635015,808.8,999.0,35.0,369.0,168.0,0.08954515061233419,0.11818185929719832,0.039736749100936525,0.11236737836648013,0.058435793739260646,0.035012314248822625,0.0441523753176094,0.13695994789368365,0.03078545090782861,0.06545449987232199,0.02806802652266747,0.016061451607629836,0.05161903352209568,0.015647214530822875,0.054556752071188014,0.011282191314101495,0.033575179053079524,0.05855863202193906
dfn_000135,0.2650146484375,10.0,0.5681713496084754,434.2,1212.0,50.0,668.0,208.0,0.08980874216656999,0.00824692425240203,0.025697674945882903,0.07572536714147744,0.09155147690004882,0.06288331353515847,0.018477206087111203,0.02520765263446132,0.04707036736341037,0.08144845318224338,0.017287878202102355,0.07308172260566319,0.07227369472063327,0.08602990141058774,0.13865011277083733,0.012983248561585189,0.04499906870079845,0.028577194819026496
dfn_000136,0.18426513671875,10.0,0.33521033454786353,301.9,823.0,43.0,366.0,128.0,0.0162568629769188,0.03349981068916631,0.026855476524254185,0.10310221216324268,0.09488479065921178,0.07931757092127514,0.10293804938130333,0.0029790561420013056,0.04424582362071229,0.11615434090574546,0.0,0.1509714430960998,0.03759523997990579,0.024822979023165822,0.03753988172078898,0.02440683681332251,0.03992438592769786,0.06450523945518812
dfn_000137,0.21484375,12.0,0.2636363636363636,293.3333333333333,847.0,36.0,362.0,156.0,0.08184787491900744,0.05264421412425054,0.0,0.045765646387106694,0.014821761073290448,0.03216908764276207,0.10226964579914291,0.10994514391389733,0.04913748045855623,0.08440016617191995,0.10046585105345732,0.03227754701943965,0.10431841041686075,0.055827470084428066,0.052795113983410205,0.030365294196947473,0.029552032454599173,0.021397260300923593
dfn_000138,0.1776123046875,10.0,0.42955326460481097,291.0,730.0,38.0,385.0,140.0,0.01128776463147766,0.04451032050508892,0.06397606645126493,0.06582768273598572,0.12079574020874158,0.026536655077609037,0.04863521161704865,0.06562744739438667,0.0,0.005036693752846993,0.09084575051502243,0.08224048256752098,0.04805695373751759,0.12197036868944779,0.11308272741145776,0.03469202200301576,0.03115090253955748,0.02572721016201014
dfn_000139,0.22564697265625,9.0,0.7787395185285366,410.77777777777777,942.0,38.0,477.0,159.0,0.04693742883060199,0.048860746677371,0.03929647139709742,0.02097031582939534,0.016813192222940726,0.029242516489336404,0.0849772262644638,0.04523083503481771,0.0578940207818723,0.10365459265900522,0.04201576231499557,0.06387493280555272,0.04266325709334693,0.03810275045623186,0.03509549770273024,0.07653026213839177,0.15566040093370997,0.05217979036813906
dfn_000140,0.35345458984375,4.0,0.9481954757382145,1447.75,1416.0,39.0,614.0,293.0,0.021825593883116886,0.0026194447542569744,0.005318151037311931,0.0036620736763260213,0.07909287404196198,0.04947396641020343,0.17143366999348847,0.09563796525659012,0.04031605354657498,0.049949903524511084,0.07290652711520906,0.050625345935796096,0.11836818759873882,0.12836509149892983,0.06374420836834921,0.03116236054046252,0.0011570771267253963,0.014341505691447183
dfn_000141,0.15765380859375,8.0,0.44870305845915603,322.875,662.0,30.0,225.0,115.0,0.15319882128040058,0.037457745930463034,0.031745446059617724,0.16762761336705348,0.020870758136953316,0.04797807464442944,0.002865117863813467,0.02383014440314026,0.014198523651858232,0.19013591285088619,0.05703580911654063,0.0687982544596309,0.01481264899903531,0.04474023156316437,0.042910469487681555,0.022171530525812194,0.0,0.059622897659519385
dfn_000142,0.13739013671875,10.0,0.4824522434473567,225.1,599.0,30.0,262.0,87.0,0.052336414242769455,0.22512740155507185,0.18991333842407163,0.030055883223784333,0.04374395911561752,0.04315717544268171,0.004317176089762649,0.005396470112203312,0.007737868257177416,0.08816170142975044,0.0,0.0,0.011006682562657973,0.08649700075968023,0.1016738884934534,0.06589425816498129,0.011832922104979507,0.03314786002135741
dfn_000143,0.30487060546875,6.0,0.8698698698698699,832.5,1262.0,41.0,509.0,223.0,0.01698439638114992,0.02875387618160522,0.12371122255309941,0.0741987285829846,0.049577495782345805,0.005218455371382364,0.0469834632867921,0.06250265931899043,0.10470025849974898,0.12526311983588054,0.03574024306182936,0.055201855307016386,0.004443354637630712,0.10083776988104667,0.014993750162629969,0.04364656170844633,0.03462861200859473,0.0726141774388267
dfn_000144,0.4066162109375,1.0,1.0,6662.0,1698.0,40.0,851.0,346.0,0.034369147139261064,0.05361152269989636,0.07813789558782479,0.12582904321099445,0.13018035373949496,0.0559962964066712,0.045512446770205564,0.03959516349657593,0.09061539221906043,0.07621461292883026,0.0595379028481202,0.028937160679880638,0.02597432777353723,0.06324296267295713,0.02616110986696606,0.037998562962739776,0.01630833060538474,0.011777768391599015
